3708 !20 [   npimage  81]	open file C:\Dropbox\alma_scripts\pyalma\npyshop\sample.jpg
134165 !20 [   npyshop 627]	(2643, 1714, 3)
134165 !20 [   npyshop 628]	3
134252 !20 [   npyshop 653]	ofset [0, 0]
140947 !20 [   npyshop 176]	open
140947 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Cl-KA.png
141103 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Cl-KA.png
141205 !20 [ nphistory  37]	undo: ['load'] redo: []
141206 !20 [   npyshop 627]	(2643, 1714, 3)
141206 !20 [   npyshop 628]	3
141282 !20 [   npyshop 653]	ofset [0, 0]
141858 !20 [   npyshop 176]	open
141858 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Co-KA.png
142126 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Co-KA.png
142231 !20 [ nphistory  37]	undo: ['load'] redo: []
142232 !20 [   npyshop 627]	(2643, 1714, 3)
142232 !20 [   npyshop 628]	3
142327 !20 [   npyshop 653]	ofset [0, 0]
145282 !20 [   npyshop 176]	open
145282 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Cr-KA.png
145436 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Cr-KA.png
145547 !20 [ nphistory  37]	undo: ['load'] redo: []
145547 !20 [   npyshop 627]	(2643, 1714, 3)
145547 !20 [   npyshop 628]	3
145624 !20 [   npyshop 653]	ofset [0, 0]
176002 !20 [   npyshop 176]	open
176002 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Cu-KA.png
176423 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Cu-KA.png
176529 !20 [ nphistory  37]	undo: ['load'] redo: []
176530 !20 [   npyshop 627]	(2643, 1714, 3)
176530 !20 [   npyshop 628]	3
176627 !20 [   npyshop 653]	ofset [0, 0]
232707 !20 [   npyshop 176]	open
232708 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Fe-KA.png
233103 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Fe-KA.png
233205 !20 [ nphistory  37]	undo: ['load'] redo: []
233205 !20 [   npyshop 627]	(2643, 1714, 3)
233205 !20 [   npyshop 628]	3
233308 !20 [   npyshop 653]	ofset [0, 0]
235570 !20 [   npyshop 176]	open
235570 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Hf-LA.png
235784 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Hf-LA.png
235887 !20 [ nphistory  37]	undo: ['load'] redo: []
235888 !20 [   npyshop 627]	(2643, 1714, 3)
235888 !20 [   npyshop 628]	3
235980 !20 [   npyshop 653]	ofset [0, 0]
237410 !20 [   npyshop 176]	open
237410 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Hg-LA.png
237650 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Hg-LA.png
237753 !20 [ nphistory  37]	undo: ['load'] redo: []
237754 !20 [   npyshop 627]	(2643, 1714, 3)
237754 !20 [   npyshop 628]	3
237847 !20 [   npyshop 653]	ofset [0, 0]
241765 !20 [   npyshop 176]	open
241765 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_K-KA.png
242029 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_K-KA.png
242130 !20 [ nphistory  37]	undo: ['load'] redo: []
242130 !20 [   npyshop 627]	(2643, 1714, 3)
242131 !20 [   npyshop 628]	3
242218 !20 [   npyshop 653]	ofset [0, 0]
247522 !20 [   npyshop 176]	open
247522 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Mg-K.png
247704 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Mg-K.png
247808 !20 [ nphistory  37]	undo: ['load'] redo: []
247808 !20 [   npyshop 627]	(2643, 1714, 3)
247808 !20 [   npyshop 628]	3
247882 !20 [   npyshop 653]	ofset [0, 0]
248995 !20 [   npyshop 176]	open
248995 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Mn-KA.png
249174 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Mn-KA.png
249277 !20 [ nphistory  37]	undo: ['load'] redo: []
249278 !20 [   npyshop 627]	(2643, 1714, 3)
249278 !20 [   npyshop 628]	3
249358 !20 [   npyshop 653]	ofset [0, 0]
249954 !20 [   npyshop 176]	open
249954 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Ni-KA.png
250076 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Ni-KA.png
250180 !20 [ nphistory  37]	undo: ['load'] redo: []
250181 !20 [   npyshop 627]	(2643, 1714, 3)
250181 !20 [   npyshop 628]	3
250255 !20 [   npyshop 653]	ofset [0, 0]
250802 !20 [   npyshop 176]	open
250803 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_P-KA.png
250930 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_P-KA.png
251033 !20 [ nphistory  37]	undo: ['load'] redo: []
251033 !20 [   npyshop 627]	(2643, 1714, 3)
251033 !20 [   npyshop 628]	3
251106 !20 [   npyshop 653]	ofset [0, 0]
251699 !20 [   npyshop 176]	open
251699 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Pb-LA.png
252330 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Pb-LA.png
252432 !20 [ nphistory  37]	undo: ['load'] redo: []
252433 !20 [   npyshop 627]	(2643, 1714, 3)
252433 !20 [   npyshop 628]	3
252562 !20 [   npyshop 653]	ofset [0, 0]
324835 !20 [   npyshop 176]	open
324835 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_P-KA.png
324964 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_P-KA.png
325070 !20 [ nphistory  37]	undo: ['load'] redo: []
325070 !20 [   npyshop 627]	(2643, 1714, 3)
325070 !20 [   npyshop 628]	3
325144 !20 [   npyshop 653]	ofset [0, 0]
330754 !20 [   npyshop 176]	open
330754 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Pb-LA.png
331390 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Pb-LA.png
331496 !20 [ nphistory  37]	undo: ['load'] redo: []
331497 !20 [   npyshop 627]	(2643, 1714, 3)
331497 !20 [   npyshop 628]	3
331637 !20 [   npyshop 653]	ofset [0, 0]
331645 !20 [   npyshop 176]	open
331645 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Pb-LB.png
332159 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Pb-LB.png
332261 !20 [ nphistory  37]	undo: ['load'] redo: []
332262 !20 [   npyshop 627]	(2643, 1714, 3)
332262 !20 [   npyshop 628]	3
332391 !20 [   npyshop 653]	ofset [0, 0]
332398 !20 [   npyshop 176]	open
332398 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Rh-KA.png
332720 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Rh-KA.png
332822 !20 [ nphistory  37]	undo: ['load'] redo: []
332823 !20 [   npyshop 627]	(2643, 1714, 3)
332823 !20 [   npyshop 628]	3
332951 !20 [   npyshop 653]	ofset [0, 0]
333747 !20 [   npyshop 176]	open
333747 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_S-KA.png
334016 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_S-KA.png
334123 !20 [ nphistory  37]	undo: ['load'] redo: []
334123 !20 [   npyshop 627]	(2643, 1714, 3)
334123 !20 [   npyshop 628]	3
334228 !20 [   npyshop 653]	ofset [0, 0]
340371 !20 [   npyshop 176]	open
340371 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Sb-KA.png
340510 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Sb-KA.png
340614 !20 [ nphistory  37]	undo: ['load'] redo: []
340614 !20 [   npyshop 627]	(2643, 1714, 3)
340614 !20 [   npyshop 628]	3
340690 !20 [   npyshop 653]	ofset [0, 0]
341267 !20 [   npyshop 176]	open
341267 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Se-KA.png
341473 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Se-KA.png
341593 !20 [ nphistory  37]	undo: ['load'] redo: []
341593 !20 [   npyshop 627]	(2643, 1714, 3)
341593 !20 [   npyshop 628]	3
341678 !20 [   npyshop 653]	ofset [0, 0]
342259 !20 [   npyshop 176]	open
342259 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Si-K.png
342386 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Si-K.png
342488 !20 [ nphistory  37]	undo: ['load'] redo: []
342488 !20 [   npyshop 627]	(2643, 1714, 3)
342489 !20 [   npyshop 628]	3
342561 !20 [   npyshop 653]	ofset [0, 0]
343314 !20 [   npyshop 176]	open
343315 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Sn-KA.png
343499 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Sn-KA.png
343611 !20 [ nphistory  37]	undo: ['load'] redo: []
343612 !20 [   npyshop 627]	(2643, 1714, 3)
343612 !20 [   npyshop 628]	3
343692 !20 [   npyshop 653]	ofset [0, 0]
346962 !20 [   npyshop 176]	open
346962 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Sr-KA.png
347112 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Sr-KA.png
347214 !20 [ nphistory  37]	undo: ['load'] redo: []
347215 !20 [   npyshop 627]	(2643, 1714, 3)
347215 !20 [   npyshop 628]	3
347289 !20 [   npyshop 653]	ofset [0, 0]
350419 !20 [   npyshop 176]	open
350419 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Ti-KA.png
