3708 !20 [   npimage  81]	open file C:\Dropbox\alma_scripts\pyalma\npyshop\sample.jpg
2172109 !20 [   npyshop 653]	ofset [0, 0]
2172592 !20 [   npyshop 176]	open
2172592 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Sb-KA.png
2172731 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Sb-KA.png
2172835 !20 [ nphistory  37]	undo: ['load'] redo: []
2172835 !20 [   npyshop 627]	(2643, 1714, 3)
2172835 !20 [   npyshop 628]	3
2172911 !20 [   npyshop 653]	ofset [0, 0]
2173360 !20 [   npyshop 176]	open
2173361 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Se-KA.png
2173565 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Se-KA.png
2173676 !20 [ nphistory  37]	undo: ['load'] redo: []
2173676 !20 [   npyshop 627]	(2643, 1714, 3)
2173676 !20 [   npyshop 628]	3
2173762 !20 [   npyshop 653]	ofset [0, 0]
2174160 !20 [   npyshop 176]	open
2174160 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Si-K.png
2174289 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Si-K.png
2174396 !20 [ nphistory  37]	undo: ['load'] redo: []
2174396 !20 [   npyshop 627]	(2643, 1714, 3)
2174396 !20 [   npyshop 628]	3
2174480 !20 [   npyshop 653]	ofset [0, 0]
2174880 !20 [   npyshop 176]	open
2174880 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Sn-KA.png
2175071 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Sn-KA.png
2175173 !20 [ nphistory  37]	undo: ['load'] redo: []
2175174 !20 [   npyshop 627]	(2643, 1714, 3)
2175174 !20 [   npyshop 628]	3
2175267 !20 [   npyshop 653]	ofset [0, 0]
2175855 !20 [   npyshop 176]	open
2175855 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Sr-KA.png
2176022 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Sr-KA.png
2176128 !20 [ nphistory  37]	undo: ['load'] redo: []
2176128 !20 [   npyshop 627]	(2643, 1714, 3)
2176129 !20 [   npyshop 628]	3
2176215 !20 [   npyshop 653]	ofset [0, 0]
2176816 !20 [   npyshop 176]	open
2176816 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Ti-KA.png
2176968 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Ti-KA.png
2177073 !20 [ nphistory  37]	undo: ['load'] redo: []
2177073 !20 [   npyshop 627]	(2643, 1714, 3)
2177073 !20 [   npyshop 628]	3
2177150 !20 [   npyshop 653]	ofset [0, 0]
2177680 !20 [   npyshop 176]	open
2177680 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Video 1.png
2178306 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Video 1.png
2178411 !20 [ nphistory  37]	undo: ['load'] redo: []
2178411 !20 [   npyshop 627]	(2643, 1714, 3)
2178411 !20 [   npyshop 628]	3
2178574 !20 [   npyshop 653]	ofset [0, 0]
2181871 !20 [   npyshop 176]	open
2181871 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Zn-KA.png
2182162 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Zn-KA.png
2182268 !20 [ nphistory  37]	undo: ['load'] redo: []
2182269 !20 [   npyshop 627]	(2643, 1714, 3)
2182269 !20 [   npyshop 628]	3
2182364 !20 [   npyshop 653]	ofset [0, 0]
2182591 !20 [   npyshop 176]	open
2182591 !20 [   npimage  81]	open file W:\JETSTREAM_NEW_2020\j171\Video 1_Video 1.png
2183230 !20 [npfilelist  16]	load filelist W:\JETSTREAM_NEW_2020\j171\Video 1_Video 1.png
2183333 !20 [ nphistory  37]	undo: ['load'] redo: []
2183333 !20 [   npyshop 627]	(2643, 1714, 3)
2183333 !20 [   npyshop 628]	3
2183519 !20 [   npyshop 653]	ofset [0, 0]
